Order ID,Order line number,Product ID,Supplier ID,Purchasing organization ID,Purchasing location ID,Quantity,Quantity units,Value,Currency,Shipment date,Status
INF01_1000100001,INF01_100,INF01_1001,INF01_Apple,INF01_INBank-US,INF01_INBank-US-Ops,300,EA,360000,USD,2023-10-01,Delivered
INF01_1000100002,INF01_100,INF01_1006,INF01_Canon,INF01_INBank-US,INF01_INBank-US-Ops,100,EA,40000,USD,2023-10-01,Delivered
INF01_1000100003,INF01_100,INF01_1002,INF01_Stanely,INF01_INBank-APAC,INF01_INBank-APAC-Ops,500,EA,150000,USD,2023-10-01,Delivered
INF01_1000100004,INF01_100,INF01_1008,INF01_HP ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,500,EA,550000,USD,2023-10-01,Delivered
INF01_1000100005,INF01_100,INF01_1009,INF01_ASHLEY ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,27,EA,10800,USD,2023-10-01,Delivered
INF01_1000100006,INF01_100,INF01_1013,INF01_Brothers ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,100,EA,50000,USD,2023-10-01,Delivered
INF01_1000100007,INF01_100,INF01_1015,INF01_Inspiron ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,100,EA,120000,USD,2023-10-01,Delivered
INF01_1000100008,INF01_100,INF01_1016,INF01_DURIAN ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,400,EA,200000,USD,2023-10-01,Delivered
INF01_1000100009,INF01_100,INF01_1020,INF01_Lexmas ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,100,EA,70000,USD,2023-10-01,Delivered
INF01_2000100001,INF01_100,INF01_1001,INF01_Apple,INF01_INBank-US,INF01_INBank-US-Ops,50,EA,60000,USD,2024-01-01,Delivered
INF01_2000100002,INF01_100,INF01_1003,INF01_Sony,INF01_INBank-APAC,INF01_INBank-APAC-Ops,25,EA,25000,USD,2024-01-01,Delivered
INF01_2000100003,INF01_100,INF01_1004,INF01_Phoenix,INF01_INBank-APAC,INF01_INBank-APAC-Ops,70,EA,14000,USD,2024-01-01,Delivered
INF01_2000100004,INF01_100,INF01_1005,INF01_Hitachi,INF01_INBank-US,INF01_INBank-US-Ops,44,EA,220000,USD,2024-01-01,Delivered
INF01_2000100005,INF01_100,INF01_1006,INF01_Canon,INF01_INBank-US,INF01_INBank-US-Ops,30,EA,12000,USD,2024-01-01,Delivered
INF01_2000100006,INF01_100,INF01_1007,INF01_Epson,INF01_INBank-US,INF01_INBank-US-Ops,15,EA,1500,USD,2024-01-01,Delivered
INF01_2000100007,INF01_100,INF01_1002,INF01_Stanely,INF01_INBank-APAC,INF01_INBank-APAC-Ops,5,EA,1500,USD,2024-01-01,Delivered
INF01_2000100008,INF01_100,INF01_1008,INF01_HP ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,55,EA,60500,USD,2024-01-01,Delivered
INF01_2000100009,INF01_100,INF01_1009,INF01_ASHLEY ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,27,EA,10800,USD,2024-01-01,Delivered
INF01_2000100010,INF01_100,INF01_1010,INF01_Samsung ,INF01_INBank-US,INF01_INBank-US-Ops,75,EA,112500,USD,2024-01-01,Delivered
INF01_2000100011,INF01_100,INF01_1011,INF01_Godrej ,INF01_INBank-US,INF01_INBank-US-Ops,49,EA,9800,USD,2024-01-01,Delivered
INF01_2000100012,INF01_100,INF01_1012,INF01_NCR ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,35,EA,245000,USD,2024-01-01,Delivered
INF01_2000100013,INF01_100,INF01_1013,INF01_Brothers ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,19,EA,9500,USD,2024-01-01,Delivered
INF01_2000100014,INF01_100,INF01_1014,INF01_CZUR ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,7,EA,1050,USD,2024-01-01,Delivered
INF01_2000100015,INF01_100,INF01_1015,INF01_Inspiron ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,57,EA,68400,USD,2024-01-01,Delivered
INF01_2000100016,INF01_100,INF01_1016,INF01_DURIAN ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,28,EA,14000,USD,2024-01-01,Delivered
INF01_2000100017,INF01_100,INF01_1017,INF01_LG ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,74,EA,74000,USD,2024-01-01,Delivered
INF01_2000100018,INF01_100,INF01_1018,INF01_Kores ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,48,EA,9600,USD,2024-01-01,Delivered
INF01_2000100019,INF01_100,INF01_1019,INF01_Triton ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,36,EA,216000,USD,2024-01-01,Delivered
INF01_2000100020,INF01_100,INF01_1020,INF01_Lexmas ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,17,EA,11900,USD,2024-01-01,Delivered
INF01_2000100021,INF01_100,INF01_1021,INF01_Fujitsu ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,8,EA,1600,USD,2024-01-01,Delivered
INF01_2000200001,INF01_100,INF01_1001,INF01_Apple,INF01_INBank-US,INF01_INBank-US-Ops,50,EA,60000,USD,2025-01-01,Delivered
INF01_2000200002,INF01_100,INF01_1003,INF01_Sony,INF01_INBank-APAC,INF01_INBank-APAC-Ops,25,EA,25000,USD,2025-01-01,Delivered
INF01_2000200003,INF01_100,INF01_1004,INF01_Phoenix,INF01_INBank-APAC,INF01_INBank-APAC-Ops,70,EA,14000,USD,2025-01-01,Delivered
INF01_2000200004,INF01_100,INF01_1005,INF01_Hitachi,INF01_INBank-US,INF01_INBank-US-Ops,44,EA,220000,USD,2025-01-01,Delivered
INF01_2000200005,INF01_100,INF01_1006,INF01_Canon,INF01_INBank-US,INF01_INBank-US-Ops,30,EA,12000,USD,2025-01-01,Delivered
INF01_2000200006,INF01_100,INF01_1007,INF01_Epson,INF01_INBank-US,INF01_INBank-US-Ops,15,EA,1500,USD,2025-01-01,Delivered
