Category L3 ID,Category L3 name,Category L2 ID,Category L1 ID,Emissions factor ID
Computers,Computers,,,Computer and electronic products
Furniture,Furniture,,, Furniture and related products
Monitors,Monitors,,,"Electrical equipment, appliances, other"
Cash counters,Cash counters,,,Fabricated metal products
ATM Machines,ATM Machines,,,Machinery
Multifunctional Printers,Multifunctional Printers,,,"Electrical equipment, appliances, other"
Check Scanners,Check Scanners,,,Utilities
CourierServices-Dom,CourierServices-Dom,,,Truck transportation
CourierServices-Intl,CourierServices-Intl,,,Air transportation
Paper,Paper,,,Paper products
