Data object,Field name,Data type,Display name (en_US),Sample(s),Description,Alternative wording,Category,Business scenarios,Used as identifier (default csv schema)
AssetEndpointSubscriptions,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,,,   --------   
AssetEndpointSubscriptions,asset,Asset,Asset,(see object),"Physical object that data is collected about. For example, a hotel, windmill, or truck.",asset: building|structure|property,,,required fields: asset.assetIdentifier; asset.assetType (default = 'STATIC')
AssetEndpointSubscriptions,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
AssetEndpointSubscriptions,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
AssetEndpointSubscriptions,calculatedNumValue,Float,Calculated num value,,,,,,
AssetEndpointSubscriptions,calculatedStringValue,String,Calculated string value,,,,,,
AssetEndpointSubscriptions,contact,Contact,Contact,(see object),Primary contact for the alerts.,contact: employee,,,
AssetEndpointSubscriptions,subscriptions,[String],Subscriptions,(list of ids),Events that the contacts subscribed to be notified about.,,,,
Factor,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,,,   --------   
Factor,provider,Organization,Provider,(see object),Reference to the organization that established the emissions factor.,,,,required fields: provider.organizationIdentifier
Factor,factorType,String!,Factor type,EMISSIONS,The type of factor being defined.,,,,required fields: factorType
Factor,targetOrganization,Organization,Target organization,,Reference to the supplier to which the emissions factor applies,organization: buyer|vendor|carrier|supplier|customer|org,,,optional fields: targetOrganization.organizationIdentifier (default = '')
Factor,regionScope,String,Region scope,Country,Defines the granularity of the region.,,,,optional fields: regionScope (default = '')
Factor,region,String,Region,USA,Geographical region to which the emissions factor applies.,,,,optional fields: region (default = '')
Factor,factorUnit,String,Factor unit,kgCO2e,Unit of measurement associated with the emissions factor.,,,,optional fields: factorUnit (default = '')
Factor,factorSetIdentifier,String,Factor set identifier,,Identifier of the factor set that differentiates different years of published data,identifier: id|number|code|num|no.,,,optional fields: factorSetIdentifier (default = '')
Factor,factorCode,String,Factor code,High Voltage Electrical,A classification code that identifies the emission factor.,,,,optional fields: factorCode (default = '')
Factor,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
Factor,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
Factor,effectiveFromDate,DateTime,Effective from date,,Date from which the factor is effective,date: time|timestamp,,,
Factor,effectiveToDate,DateTime,Effective to date,,Date to which the factor is effective,date: time|timestamp,,,
Factor,factorSetName,String,Factor set name,,Descriptive name of the factor set,,,,
Factor,factorSubType,String,Factor sub type,,The sub-type of the factor being defined,,,,
Factor,factorValue,Float,Factor value,123,Metric or value of the product used in computing score.  Note: this may not be returned on a query.,,,,
Factor,isInUse,Boolean,Is in use,TRUE,Suggests whether the emissions factor is applied.,,,,
Factor,isProtected,Boolean,Is protected,,,,,,
Factor,precedence,Float,Precedence,3,Suggests which emssions factors take priority.,,,,
Factor,publishedFromDate,DateTime,Published from date,,Beginning date of active publication,date: time|timestamp,,,
Factor,publishedToDate,DateTime,Published to date,,End date of active publication,date: time|timestamp,,,
Factor,reviewDate,DateTime,Review date,,Date the factor is expected to be refreshed,date: time|timestamp,,,
FactorGroup,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,,,   --------   
