Supplier ID,Supplier name,Contact email,Contact first name,Contact last name,Contact phone,Address,City,Postal code,State-province,Country,Region,Coordinates
INF01_Apple,INF01_Apple,INF01_Apple@dummy123.com,INF01_Apple,INF01_Apple,,,New York,10001,NY,USA,Northeast,"40.7128, -74.006"
INF01_Sony,INF01_Sony,INF01_Sony@dummy123.com,INF01_Sony,INF01_Sony,,,Mumbai,400001,Maharashtra,IND,West,"18.9388, 72.8258"
INF01_Phoenix,INF01_Phoenix,INF01_Phoenix@dummy123.com,INF01_Phoenix,INF01_Phoenix,,,Delhi,110001,Delhi,IND,North,"28.6139, 77.209"
INF01_Hitachi,INF01_Hitachi,INF01_Hitachi@dummy123.com,INF01_Hitachi,INF01_Hitachi,,,Bangalore,560001,Karnataka,IND,South,"12.9716, 77.5946"
INF01_Canon,INF01_Canon,INF01_Canon@dummy123.com,INF01_Canon,INF01_Canon,,,Hyderabad,500001,Telangana,IND,South,"17.385, 78.4867"
INF01_Epson,INF01_Epson,INF01_Epson@dummy123.com,INF01_Epson,INF01_Epson,,,Los Angeles,90001,CA,USA,West,"34.0522, -118.2437"
INF01_Stanely,INF01_Stanely,INF01_Stanely@dummy123.com,INF01_Stanely,INF01_Stanely,,,Chennai,600001,Tamil Nadu,IND,South,"13.0827, 80.2707"
INF01_HP,INF01_HP,INF01_HP@dummy123.com,INF01_HP,INF01_HP,,,Kolkata,700001,West Bengal,IND,East,"22.5726, 88.3639"
INF01_ASHLEY,INF01_ASHLEY,INF01_ASHLEY@dummy123.com,INF01_ASHLEY,INF01_ASHLEY,,,Chicago,60601,IL,USA,Midwest,"41.8781, -87.6298"
INF01_Samsung,INF01_Samsung,INF01_Samsung@dummy123.com,INF01_Samsung,INF01_Samsung,,,Houston,77001,TX,USA,South,"29.7604, -95.3698"
INF01_Godrej,INF01_Godrej,INF01_Godrej@dummy123.com,INF01_Godrej,INF01_Godrej,,,Phoenix,85001,AZ,USA,West,"33.4484, -112.074"
INF01_NCR,INF01_NCR,INF01_NCR@dummy123.com,INF01_NCR,INF01_NCR,,,Mumbai,400001,Maharashtra,IND,West,"18.9388, 72.8258"
INF01_Brothers,INF01_Brothers,INF01_Brothers@dummy123.com,INF01_Brothers,INF01_Brothers,,,Delhi,110001,Delhi,IND,North,"28.6139, 77.209"
INF01_CZUR,INF01_CZUR,INF01_CZUR@dummy123.com,INF01_CZUR,INF01_CZUR,,,Bangalore,560001,Karnataka,IND,South,"12.9716, 77.5946"
INF01_Inspiron,INF01_Inspiron,INF01_Inspiron@dummy123.com,INF01_Inspiron,INF01_Inspiron,,,London , SW1A 1AA , England ,GBR, South East ,"51.5072, -0.1276"
INF01_DURIAN,INF01_DURIAN,INF01_DURIAN@dummy123.com,INF01_DURIAN,INF01_DURIAN,,,Manchester , M1 1AE, England ,GBR, North West ,"53.4808, -2.2426"
INF01_LG,INF01_LG,INF01_LG@dummy123.com,INF01_LG,INF01_LG,,,Birmingham , B1 1AA , England ,GBR, West Midlands ,"52.4862, -1.8904"
INF01_Kores,INF01_Kores,INF01_Kores@dummy123.com,INF01_Kores,INF01_Kores,,,Glasgow , G1 1XX , Scotland ,GBR, Scotland ,"55.8642, -4.2518"
INF01_Triton,INF01_Triton,INF01_Triton@dummy123.com,INF01_Triton,INF01_Triton,,,Liverpool , L1 8JQ , England ,GBR, North West ,"53.4084, -2.9916"
INF01_Lexmas,INF01_Lexmas,INF01_Lexmas@dummy123.com,INF01_Lexmas,INF01_Lexmas,,,Edinburgh , EH1 1BB , Scotland ,GBR, Scotland ,"55.9533, -3.1883"
INF01_Fujitsu,INF01_Fujitsu,INF01_Fujitsu@dummy123.com,INF01_Fujitsu,INF01_Fujitsu,,,London , SW1A 1AA , England ,GBR, South East ,"51.5072, -0.1276"
INF01_PGPaper,INF01_PGPaper,INF01_PGPaper@dummy123.com,INF01_PGPaper,INF01_PGPaper,,,Manchester , M1 1AE , England ,GBR, North West ,"53.4808, -2.2426"
INF01_CalcoPaper,INF01_CalcoPaper,INF01_CalcoPaper@dummy123.com,INF01_CalcoPaper,INF01_CalcoPaper,,,Birmingham , B1 1AA , England ,GBR, West Midlands ,"52.4862, -1.8904"
INF01_Domtar,INF01_Domtar,INF01_Domtar@dummy123.com,INF01_Domtar,INF01_Domtar,,,Glasgow , G1 1XX , Scotland ,GBR, Scotland ,"55.8642, -4.2518"
INF01_Verso,INF01_Verso,INF01_Verso@dummy123.com,INF01_Verso,INF01_Verso,,,San Antonio,78201,TX,USA,South,"29.4241, -98.4936"
INF01_Sappi,INF01_Sappi,INF01_Sappi@dummy123.com,INF01_Sappi,INF01_Sappi,,,San Diego,92101,CA,USA,West,"32.7157, -117.1611"
INF01_JKaper,INF01_JKaper,INF01_JKaper@dummy123.com,INF01_JKaper,INF01_JKaper,,,Chennai,600001,Tamil Nadu,IND,South,"13.0827, 80.2707"
INF01_WestCoast,INF01_WestCoast,INF01_WestCoast@dummy123.com,INF01_WestCoast,INF01_WestCoast,,,Kolkata,700001,West Bengal,IND,East,"22.5726, 88.3639"
INF01_ITC,INF01_ITC,INF01_ITC@dummy123.com,INF01_ITC,INF01_ITC,,,Pune,411001,Maharashtra,IND,West,"18.5204, 73.8567"
